[START OF SIMULATION]
0x00000000:	bun 21                   	PC=0x00000058
0x00000154:	pop r25,r24,r23,r22,r21  	{R25,R24,R23,R22,R21}=MEM[0x00007FE4]{0xFFFFFFF6,0xFFFFFFFC,0x00000000,0xDD23FFFF,0x1EBCE8B4}
0x00000158:	push r1,r2               	MEM[0x00007FF8]{0xFFFFFFFF,0xFFFFFFFF}={R1,R2}
0x0000015C:	push r3,r4,r5            	MEM[0x00007FF0]{0x00000000,0x00000000,0x00000000}={R3,R4,R5}
0x00000160:	push r6,r7,r8,r9         	MEM[0x00007FE4]{0x00000000,0x00000000,0x00000000,0x0000002A}={R6,R7,R8,R9}
0x00000164:	pop r9,r8                	{R9,R8}=MEM[0x00007FD4]{0x0000002A,0x00000000}
0x00000168:	pop r7,r6,r5             	{R7,R6,R5}=MEM[0x00007FDC]{0x00000000,0x00000000,0x00000000}
0x0000016C:	pop r4,r3,r2,r1          	{R4,R3,R2,R1}=MEM[0x00007FE8]{0x00000000,0x00000000,0xFFFFFFFF,0xFFFFFFFF}
0x00000170:	ret                      	PC=MEM[0x00007FFC]=0x000002D8
0x000002D8:	call [r0+93]             	PC=0x00000174,MEM[0x00007FFC]=0x000002DC
0x00000174:	xor sr,sr,sr             	SR=SR^SR=0x00000040,SR=0x00000040
0x00000178:	mov r1,1                 	R1=0x00000001
0x0000017C:	movs r2,-1               	R2=0xFFFFFFFF
0x00000180:	cmp r0,r0                	SR=0x00000040
0x00000184:	cmp r0,r1                	SR=0x00000011
0x00000188:	cmp r1,r0                	SR=0x00000000
0x0000018C:	sll r0,r1,r1,30          	R0:R1=R0:R1<<31=0x0000000080000000,SR=0x00000000
0x00000190:	mov r2,1                 	R2=0x00000001
0x00000194:	cmp r1,r2                	SR=0x00000008
0x00000198:	cmp r2,r1                	SR=0x00000019
0x0000019C:	cmp pc,ir                	SR=0x00000011
0x000001A0:	cmp pc,sp                	SR=0x00000011
0x000001A4:	cmp ir,sp                	SR=0x00000000
0x000001A8:	cmp r1,r2                	SR=0x00000008
0x000001AC:	cmp r2,r1                	SR=0x00000019
0x000001B0:	cmpi r0,0                	SR=0x00000040
0x000001B4:	cmpi r0,1                	SR=0x00000011
0x000001B8:	cmpi r0,-1               	SR=0x00000001
0x000001BC:	ret                      	PC=MEM[0x00007FFC]=0x000002DC
0x000002DC:	call -72                 	PC=0x000001C0,MEM[0x00007FFC]=0x000002E0
0x000001C0:	xor sr,sr,sr             	SR=SR^SR=0x00000040,SR=0x00000040
0x000001C4:	cmpi r0,0                	SR=0x00000040
0x000001C8:	bat 1                    	PC=0x000001CC
0x000001CC:	bae 1                    	PC=0x000001D4
0x000001D4:	cmpi r0,1                	SR=0x00000011
0x000001D8:	bat 1                    	PC=0x000001DC
0x000001DC:	bbe 1                    	PC=0x000001E4
0x000001E4:	cmpi r0,0                	SR=0x00000040
0x000001E8:	bbt 1                    	PC=0x000001EC
0x000001EC:	bbe 1                    	PC=0x000001F4
0x000001F4:	cmp r0,r0                	SR=0x00000040
0x000001F8:	bne 1                    	PC=0x000001FC
0x000001FC:	beq 1                    	PC=0x00000204
0x00000204:	blt 1                    	PC=0x00000208
0x00000208:	bge 1                    	PC=0x00000210
0x00000210:	mov r1,1                 	R1=0x00000001
0x00000214:	cmp r1,r0                	SR=0x00000000
0x00000218:	blt 1                    	PC=0x0000021C
0x0000021C:	bge 1                    	PC=0x00000224
0x00000224:	ble 1                    	PC=0x00000228
0x00000228:	bgt 1                    	PC=0x00000230
0x00000230:	mov r2,4                 	R2=0x00000004
0x00000234:	or sr,sr,r2              	SR=SR|R2=0x00000004,SR=0x00000004
0x00000238:	bni 1                    	PC=0x0000023C
0x0000023C:	biv 1                    	PC=0x00000244
0x00000244:	cmp r1,r1                	SR=0x00000044
0x00000248:	bgt 1                    	PC=0x0000024C
0x0000024C:	ble 1                    	PC=0x00000254
0x00000254:	cmp r1,r2                	SR=0x00000015
0x00000258:	bgt 1                    	PC=0x0000025C
0x0000025C:	ble 1                    	PC=0x00000264
0x00000264:	bge 1                    	PC=0x00000268
0x00000268:	blt 1                    	PC=0x00000270
0x00000270:	beq 1                    	PC=0x00000274
0x00000274:	bne 1                    	PC=0x0000027C
0x0000027C:	xor sr,sr,sr             	SR=SR^SR=0x00000040,SR=0x00000040
0x00000280:	biv 1                    	PC=0x00000284
0x00000284:	bni 1                    	PC=0x0000028C
0x0000028C:	bzd 1                    	PC=0x00000290
0x00000290:	bnz 1                    	PC=0x00000298
0x00000298:	bun 0                    	PC=0x0000029C
0x0000029C:	bun 1                    	PC=0x000002A4
0x000002A4:	divi r2,r1,0             	R2=R1/0x00000000=0x00000004,SR=0x00000060
0x000002A8:	bnz 1                    	PC=0x000002AC
0x000002AC:	bzd 1                    	PC=0x000002B4
0x000002B4:	ret                      	PC=MEM[0x00007FFC]=0x000002E0
0x000002E0:	int 0                    	CR=0x00000000,PC=0x00000000
[END OF SIMULATION]
